Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.262625139,1.52E-46,0.302383735,0.361445783,0.77689243,0,0.083798883,0.995976556,1.71E-31,0.85262979,78,1.42E-13,2.09E-13,447810.6872,87.35966756,-9.058969356,20.46307962,4.4,3.1,30,-14,-1,15
0.261957731,1.47E-46,0.301413511,0.361445783,0.77689243,0,0.083798883,0.987083201,1.59E-31,0.884876292,79,1.30E-13,2.04E-13,447765.5934,87.30330549,-20.81818181,21.23698343,4.3,2.8,30,-14,-1,15
0.265183537,1.47E-46,0.301714688,0.204819277,0.792828685,0,0.033519553,0.976838886,1.07E-31,0.803864162,80,1.88E-13,2.04E-13,447779.5914,87.23838165,-73.22489669,19.29272307,5.8,3.3,17,-10,-1,6
0.265517241,1.53E-46,0.302333521,0.204819277,0.796812749,0,0.033519553,0.994469106,9.48E-32,0.835466438,81,1.94E-13,2.10E-13,447808.3534,87.35011402,-85.21603208,20.05116571,5.3,4,17,-9,-1,6
0.263125695,1.48E-46,0.303158742,0.325301205,0.780876494,0,0.067039106,0.994257674,8.33E-32,0.868513018,82,1.51E-13,2.05E-13,447846.7078,87.34877406,-96.68723059,20.84427107,4.6,3.5,27,-13,-1,12
0.260901001,1.44E-46,0.303311348,0.325301205,0.788844622,0,0.067039106,0.976013336,7.13E-32,0.900168077,83,1.11E-13,2.01E-13,447853.8006,87.23314969,-108.6593743,21.60398046,4.1,4.1,27,-11,-1,12
0.264460512,1.35E-46,0.302406416,0.277108434,0.800796813,0,0.05027933,0.988012125,1.89E-32,0.819192584,84,1.75E-13,1.92E-13,447811.7414,87.30919259,-161.0529202,19.66059938,3.8,3.4,23,-8,-1,9
0.265850945,1.35E-46,0.304225289,0.277108434,0.800796813,0,0.05027933,0.996112394,7.23E-33,0.851739586,85,2.00E-13,1.92E-13,447896.2785,87.36052844,-172.7039869,20.44171508,3.2,3.5,23,-8,-1,9
0.259238042,1.21E-46,0.30588249,0.204819277,0.800796813,0,0.033519553,0.986604751,3.56E-31,0.883962958,86,8.11E-14,1.78E-13,447973.3015,87.30027329,175.5284192,21.21506376,4,3.7,17,-8,-1,6
0.263515017,1.34E-46,0.30454942,0.204819277,0.816733068,0,0.033519553,0.977450277,3.03E-31,0.802881964,87,1.58E-13,1.91E-13,447911.3434,87.24225637,123.0968588,19.26915069,4,2.9,17,-4,-1,6
